BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
131.3,296.5,2738.0,45.4,985.0,257.6,85.4,123.0,48.0,9.758,2.1209999999999996,111.5
129.5,296.6,2739.0,45.6,989.0,256.8,87.1,122.4,48.9,9.637,2.277,111.5
128.6,296.8,2741.0,45.6,989.0,257.1,87.1,123.1,49.1,9.649,2.281999999999999,111.8
128.8,296.6,2739.0,45.2,989.0,257.4,85.1,121.9,48.2,9.844,2.1449999999999996,111.7
128.8,296.7,2738.0,42.5,989.0,257.3,85.4,121.6,48.1,9.872,1.8369999999999997,111.3
128.8,296.7,2741.0,44.9,989.0,257.0,88.9,123.6,49.4,9.541,2.123,111.9
128.8,296.8,2741.0,46.5,990.0,259.0,87.8,125.2,49.8,9.492,2.277000000000001,113.5
128.8,296.8,2740.0,45.2,994.0,259.0,85.5,122.5,47.7,9.745,2.134999999999999,112.4
128.8,296.7,2741.0,45.3,993.0,258.9,85.1,122.1,47.1,9.774,1.972999999999999,111.7
128.8,296.7,2741.0,42.5,993.0,259.5,85.5,123.0,47.2,9.784,1.8230000000000004,112.4
128.6,296.7,2740.0,41.0,993.0,259.8,85.5,122.9,46.3,9.809,1.8939999999999992,111.3
128.5,296.7,2739.0,43.6,992.0,260.0,86.2,124.1,47.1,9.752,2.149000000000001,112.3
128.4,296.6,2739.0,46.7,991.0,255.7,87.0,120.2,49.2,9.729,2.304999999999999,111.0
128.2,296.6,2740.0,46.5,983.0,253.2,87.7,119.9,49.4,9.673,2.2880000000000003,110.2
128.1,296.6,2739.0,50.0,983.0,253.1,92.9,123.5,52.9,9.17,2.266,112.0
127.9,296.6,2741.0,50.8,983.0,254.3,88.5,122.0,51.6,9.56,2.2910000000000004,111.8
127.8,296.7,2740.0,50.1,983.0,254.8,87.9,122.5,51.1,9.64,2.2920000000000007,111.9
127.6,296.7,2738.0,49.3,983.0,254.4,89.5,122.8,51.2,9.501,2.2959999999999994,111.6
127.5,296.7,2739.0,46.7,983.0,253.9,86.9,120.3,49.4,9.745,2.289999999999999,110.2
127.3,296.7,2740.0,44.3,984.0,253.6,86.6,118.8,48.5,9.798,2.2889999999999997,109.4
127.2,296.8,2739.0,42.4,989.0,252.1,85.3,114.7,47.1,9.986,2.173000000000001,107.9
127.1,296.8,2738.0,41.5,993.0,251.1,85.5,112.3,46.9,10.042,1.9420000000000002,107.2
127.0,296.8,2738.0,40.8,995.0,251.2,85.5,111.8,46.8,10.068,1.9689999999999994,106.3
126.8,296.9,2741.0,40.6,995.0,251.3,85.5,111.6,46.6,10.077,1.8539999999999992,105.9
126.7,297.0,2740.0,39.5,996.0,250.9,85.6,111.2,46.4,10.096,1.8729999999999993,105.6
126.6,297.1,2739.0,38.1,1000.0,250.2,85.9,108.9,46.3,10.148,1.8010000000000002,105.3
126.6,297.2,2740.0,38.6,1001.0,249.9,85.5,108.1,46.3,10.174,1.8369999999999997,105.1
126.5,297.1,2739.0,40.2,1001.0,250.1,85.4,108.2,46.8,10.189,1.923,105.4
126.5,297.1,2740.0,41.6,999.0,252.1,85.8,111.6,47.2,10.049,2.0090000000000003,107.1
126.5,297.2,2740.0,42.8,1002.0,259.7,85.4,121.9,46.8,9.867,2.086000000000001,112.0
126.4,297.2,2740.0,41.9,1005.0,258.2,85.7,118.7,47.0,9.89,2.120000000000001,111.0
126.4,297.1,2739.0,42.9,1005.0,257.2,85.8,118.0,47.4,9.881,2.26,110.7
126.4,297.1,2739.0,43.2,1005.0,256.8,85.5,117.4,47.4,9.917,2.1789999999999994,110.5
126.5,297.1,2740.0,43.1,1007.0,256.9,85.7,116.7,47.6,9.912,2.208000000000001,110.4
126.8,297.0,2740.0,42.5,1007.0,257.0,85.8,116.9,48.1,9.916,1.9980000000000002,111.0
127.2,297.0,2740.0,47.4,1007.0,257.1,90.9,121.1,51.9,9.41,2.351,112.7
127.5,297.0,2741.0,50.2,1007.0,256.7,93.8,123.0,53.7,9.152,2.3309999999999995,113.7
127.9,296.9,2741.0,51.3,1007.0,256.6,94.6,123.9,54.8,9.056,2.331999999999999,114.9
128.4,296.8,2748.0,50.3,995.0,254.3,93.3,123.7,53.7,9.217,2.314000000000001,112.9
126.2,296.8,2740.0,48.5,1019.0,248.9,92.7,108.9,52.8,9.51,2.4209999999999994,107.7
126.2,296.7,2739.0,48.2,1038.0,243.5,89.9,93.5,51.2,10.015,2.543,102.9
